product_a,product_a_label,product_b,product_b_label,similarity,shared_attributes,shared_attribute_nodes
PRODUCT:5248,FRASCO VIDRIO TRANSPARENTE 100ML C/TAPA Y TAPON B18,PRODUCT:5372,FRASCO VIDRIO TRANSPARENTE 458ML C/TAPA 82,0.4991,3,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE
PRODUCT:5248,FRASCO VIDRIO TRANSPARENTE 100ML C/TAPA Y TAPON B18,PRODUCT:5370,FRASCO VIDRIO TRANSPARENTE ESPARRAGUERO 315ML C/TAPA 63,0.4991,3,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE
PRODUCT:5247,FRASCO VIDRIO TRANSPARENTE 30ML C/TAPA Y TAPON N18,PRODUCT:5292,FRASCO ROLL-ON VIDRIO TRANSPARENTE 7ML C/TAPA Y TAPON,0.4991,3,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE
PRODUCT:5154,FRASCO VIDRIO AMBAR 15ML C/TAPA Y TAPON B18,PRODUCT:5339,FRASCO DE VIDRIO AMBAR 200ML BOCA 28,0.4991,3,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO
PRODUCT:5163,FRASCO VIDRIO AMBAR 120ML TAPA Y TAPON N28,PRODUCT:5348,FRASCO DE VIDRIO BOCA ANCHA AMBAR TAPA AZUL 250ML,0.4991,3,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO
PRODUCT:5135,FRASCO ROLL-ON VIDRIO AMBAR 10ML C/TAPON Y TAPA,PRODUCT:5156,FRASCO VIDRIO AMBAR 30ML C/TAPA Y TAPON B18,0.4991,3,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO
PRODUCT:5135,FRASCO ROLL-ON VIDRIO AMBAR 10ML C/TAPON Y TAPA,PRODUCT:5155,FRASCO VIDRIO AMBAR 20ML C/TAPA Y TAPON B18,0.4991,3,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO
PRODUCT:5150,FRASCO VIDRIO TRANSPARENTE 15ML C/TAPA Y TAPON N18,PRODUCT:5292,FRASCO ROLL-ON VIDRIO TRANSPARENTE 7ML C/TAPA Y TAPON,0.4991,3,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE
PRODUCT:5150,FRASCO VIDRIO TRANSPARENTE 15ML C/TAPA Y TAPON N18,PRODUCT:5291,FRASCO ROLL-ON VIDRIO TRANSPARENTE 3ML C/TAPA Y TAPON,0.4991,3,MATERIAL:VIDRIO|TYPE:FRASCO|COLOR:TRANSPARENTE
PRODUCT:5521,FRASCO DE VIDRIO BOCA ANCHA AMBAR TAPA AZUL 500ML,PRODUCT:5576,FRASCO VIDRIO AMBAR 5ML B18 TAPA ESPRAY,0.4991,3,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO
PRODUCT:5227,TAPON BUTILO COLOR GRIS N20,PRODUCT:5244,VIAL VIDRIO TRANSPARENTE 5ML B20 C/TAPA BUTILO GRIS,0.4991,3,TYPE:TAPA|MOUTH_SIZE:20MM|COLOR:GRIS
PRODUCT:5227,TAPON BUTILO COLOR GRIS N20,PRODUCT:5228,VIAL VIDRIO TRANSPARENTE 7ML B20 C/TAPA BUTILO COLOR GRIS,0.4991,3,TYPE:TAPA|MOUTH_SIZE:20MM|COLOR:GRIS
PRODUCT:5378,FRASCO VIDRIO AMBAR 15ML B18 TAPA ESPRAY,PRODUCT:5521,FRASCO DE VIDRIO BOCA ANCHA AMBAR TAPA AZUL 500ML,0.4991,3,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO
PRODUCT:5235,BOMBA ATOMIZADORA ACANALADO N28 410 BLANCO,PRODUCT:5321,BOMBA DISPENSADORA PARA GALONERA 28/410 ACANALADO COLOR BLANCO,0.4987,2,COLOR:BLANCO|TYPE:ATOMIZADOR
PRODUCT:5094,PROBETA DE PLASTICO GRADUADA 100 ML,PRODUCT:5566,CEPILLO DE LIMPIEZA PARA PROBETA DE 100ML,0.4986,2,CAPACITY:100ML|TYPE:ACCESORIO
PRODUCT:5383,PROBETA DE PLASTICO GRADUADA PROBETA DE PLASTICO GRADUADA 500 ML,PRODUCT:5568,CEPILLO DE LIMPIEZA PARA PROBETA DE 500ML,0.4986,2,TYPE:ACCESORIO|CAPACITY:500ML
PRODUCT:5199,TALQUERA PLASTICO 70GR C/TAPA Y REJILLA,PRODUCT:5424,GRADILLA CUBIERTA DE PLASTICO 3*4,0.4986,2,MATERIAL:PLASTICO|TYPE:ACCESORIO
PRODUCT:5256,TALQUERA PLASTICO 140GR C/TAPA Y REJILLA,PRODUCT:5424,GRADILLA CUBIERTA DE PLASTICO 3*4,0.4986,2,MATERIAL:PLASTICO|TYPE:ACCESORIO
PRODUCT:5095,PROBETA DE PLASTICO GRADUADA 250 ML,PRODUCT:5567,CEPILLO DE LIMPIEZA PARA PROBETA DE 250ML,0.4986,2,CAPACITY:250ML|TYPE:ACCESORIO
