product,product_label,rank,similar,similar_label,similarity,shared_attributes
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,1.0,PRODUCT:5420,FRASCO PARA RIMEL 4ML C/TAPA (12CM - 1.5CM) INYEC.,0.4974,2
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,2.0,PRODUCT:5148,FRASCO VIDRIO TRANSPARENTE 5ML C/TAPA Y TAPON B18,0.3339,2
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,3.0,PRODUCT:5142,FRASCO VIDRIO VERDE 5ML C/TAPA Y TAPON N18,0.3339,2
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,4.0,PRODUCT:5152,FRASCO VIDRIO AMBAR 5ML C/TAPA Y TAPON B18,0.3339,2
PRODUCT:5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,5.0,PRODUCT:5576,FRASCO VIDRIO AMBAR 5ML B18 TAPA ESPRAY,0.3339,2
PRODUCT:5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,1.0,PRODUCT:5115,POTE CREMERO VIDRIO PAVONADO 30GR CON LAINA Y TAPA,0.7991,4
PRODUCT:5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,2.0,PRODUCT:5552,CREMERO SIMPLE 30GR C/ TAPA Y LAINA NEGRO,0.7991,4
PRODUCT:5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,3.0,PRODUCT:5276,POTE CREMERO DOBLE FONDO BLANCO IMPORTADO 30GR C/TAPA Y LAINA,0.6825,4
PRODUCT:5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,4.0,PRODUCT:5049,POTE CREMERO DOBLE FONDO NEGRO IMPORTADO 30GR CON TAPA Y LAINA,0.6825,4
PRODUCT:5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,5.0,PRODUCT:5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,0.5949,3
