source,target,relation,weight,evidence
PRODUCT:5026,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO BLANCO 60GR CON TAPA
PRODUCT:5026,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO BLANCO 60GR CON TAPA
PRODUCT:5026,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO BLANCO 60GR CON TAPA
PRODUCT:5026,COLOR:BLANCO,HAS_COLOR,0.94,PASTILLERO PLASTICO BLANCO 60GR CON TAPA
PRODUCT:5026,CAPACITY:60GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO BLANCO 60GR CON TAPA
PRODUCT:5027,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO BLANCO 90GR CON TAPA
PRODUCT:5027,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO BLANCO 90GR CON TAPA
PRODUCT:5027,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO BLANCO 90GR CON TAPA
PRODUCT:5027,COLOR:BLANCO,HAS_COLOR,0.94,PASTILLERO PLASTICO BLANCO 90GR CON TAPA
PRODUCT:5027,CAPACITY:90GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO BLANCO 90GR CON TAPA
PRODUCT:5028,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO BLANCO 120GR CON TAPA
PRODUCT:5028,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO BLANCO 120GR CON TAPA
PRODUCT:5028,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO BLANCO 120GR CON TAPA
PRODUCT:5028,COLOR:BLANCO,HAS_COLOR,0.94,PASTILLERO PLASTICO BLANCO 120GR CON TAPA
PRODUCT:5028,CAPACITY:120GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO BLANCO 120GR CON TAPA
PRODUCT:5029,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO NEGRO 40GR CON TAPA
PRODUCT:5029,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO NEGRO 40GR CON TAPA
PRODUCT:5029,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO NEGRO 40GR CON TAPA
PRODUCT:5029,COLOR:NEGRO,HAS_COLOR,0.94,PASTILLERO PLASTICO NEGRO 40GR CON TAPA
