product_id,product_name,supplier,supplier_norm,supplier_options,effective_unit_cost,reference_unit_cost,edge_weight,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,is_negative_edge,scenario_type
5249,SOLO MINI TRIGGER NEGRO B28,VIPLASTIC S.A.C.,VIPLASTIC S A C,4,1.5,0.9,0.6,-0.6,-0.666667,50,250,1,2025-06-16,False,at_or_above_reference
5250,TUBO CONICO CON TAPA ROSCA DE 15ML NO ESTERIL,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,0.25,0.2875,-0.0375,0.0375,0.130435,500,1250,4,2026-01-22,True,historical_saving
5252,GOTERO VIDRIO TRANSPARENTE 100ML C/TAOA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,1.6,1.6,0.0,0.0,0.0,35,2050,1,2025-06-20,False,at_or_above_reference
5252,GOTERO VIDRIO TRANSPARENTE 100ML C/TAOA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,2,1.6,1.6,0.0,0.0,0.0,50,3650,1,2025-11-11,False,at_or_above_reference
5253,FRASCO PET 1LT TRANSPARENTE C/SPRAY PISTOLA N28,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,1.8,1.8,0.0,0.0,0.0,50,2050,1,2025-06-20,False,at_or_above_reference
5254,POTE ACRILICO 5GR C/TAPA ROSCA,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,3,0.9,0.9,0.0,0.0,0.0,200,2050,6,2025-09-04,False,at_or_above_reference
5254,POTE ACRILICO 5GR C/TAPA ROSCA,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,3,0.9,0.9,0.0,0.0,0.0,200,4424,1,2026-02-13,False,at_or_above_reference
5254,POTE ACRILICO 5GR C/TAPA ROSCA,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,3,0.9,0.9,0.0,0.0,0.0,500,3650,1,2025-09-15,False,at_or_above_reference
5255,VASELINERO 7GR,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,0.2,0.2,0.0,0.0,0.0,200,2050,8,2025-08-29,False,at_or_above_reference
5255,VASELINERO 7GR,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,4,0.2,0.2,0.0,0.0,0.0,550,3650,2,2025-11-06,False,at_or_above_reference
5255,VASELINERO 7GR,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,4,0.2,0.2,0.0,0.0,0.0,100,4424,1,2026-02-03,False,at_or_above_reference
5255,VASELINERO 7GR,VIPLASTIC S.A.C.,VIPLASTIC S A C,4,0.2,0.2,0.0,0.0,0.0,50,250,1,2025-07-11,False,at_or_above_reference
5256,TALQUERA PLASTICO 140GR C/TAPA Y REJILLA,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,2.8,2.8,0.0,0.0,0.0,50,2050,4,2026-04-17,False,at_or_above_reference
5257,POTE PET TRANSPARENTE 250GR C/TAPA ROSCA,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,2.2,2.2,0.0,0.0,0.0,386,2050,2,2026-04-29,False,at_or_above_reference
5257,POTE PET TRANSPARENTE 250GR C/TAPA ROSCA,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,2.2,2.2,0.0,0.0,0.0,100,4424,1,2026-01-01,False,at_or_above_reference
5258,PIPETAS PASTEUR ESTRILES 5ML (BLS100),CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,0.1,0.1,0.0,0.0,0.0,100,1250,1,2026-03-03,False,at_or_above_reference
5259,FRASCO DE VIDRIO BOCA ANCHA TAPA AZUL 1L NIU S/20.0,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,9.0,9.6,-0.6,0.6,0.0625,8,1250,5,2026-02-21,True,historical_saving
5260,FRASCO GOTERO VIDRIO TRANSPARENTE 30ML C/TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,1.3,1.3,0.0,0.0,0.0,50,2050,1,2025-06-23,False,at_or_above_reference
5261,GOTER PLASTICO BLANCO 5ML C/TAPA Y TAPON N15,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.3,0.3,0.0,0.0,0.0,100,2050,1,2025-06-23,False,at_or_above_reference
5262,GOTERO PLASTICO BLANCO 10ML C/TAPA Y TAPON N15,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.3,0.3,0.0,0.0,0.0,200,2050,3,2026-04-29,False,at_or_above_reference
5263,GOTERO PLASTICO BLANCO 7ML C/TAPA Y TAPON N15,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,0.3,0.3,0.0,0.0,0.0,100,2050,1,2025-06-23,False,at_or_above_reference
5264,FRASCO DE  VIDRIO BOCA ANCHA TAPA AZUL 500ML,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,7.0,7.833333,-0.833333,0.833333,0.106383,12,1250,3,2025-10-25,True,historical_saving
5265,PIPETA SEREOLOGICA GRADUADA VIDRIO 5ML - CITOGLAS,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,4.0,5.285714,-1.285714,1.285714,0.243243,5,1250,7,2026-04-17,True,historical_saving
5266,ABRAZADERA CRUZADA DE LABORATORIO (DOBLE NUEZ),CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,2,14.0,14.5,-0.5,0.5,0.034483,1,1250,1,2025-06-20,True,historical_saving
5266,ABRAZADERA CRUZADA DE LABORATORIO (DOBLE NUEZ),MATRAZ PERU E.I.R.L.,MATRAZ PERU E I R L,2,15.0,14.5,0.5,-0.5,-0.034483,1,1697,1,2025-06-24,False,at_or_above_reference
5267,ABRAZADERA PARA MATRAZ,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,2,15.0,15.0,0.0,0.0,0.0,1,1250,1,2025-06-20,False,at_or_above_reference
5267,ABRAZADERA PARA MATRAZ,MATRAZ PERU E.I.R.L.,MATRAZ PERU E I R L,2,15.0,15.0,0.0,0.0,0.0,1,1697,1,2025-06-24,False,at_or_above_reference
5268,DESECADOR 300MM,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,320.0,320.0,0.0,0.0,0.0,1,1250,1,2025-06-10,False,at_or_above_reference
5269,TERMOMETRO DIGITAL DE VASTAGO PARA COCINA DE 30CM,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,14.0,14.5,-0.5,0.5,0.034483,5,1250,2,2025-07-22,True,historical_saving
5270,PIPETEADOR DE CREMALLERA VERDE (PUMP) 10ML,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,1,13.0,15.333333,-2.333333,2.333333,0.152174,5,1250,3,2026-04-25,True,historical_saving
5272,PROBADOR PLASTICO 10ML ESPRAY COLORES,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,1.3,1.3,0.0,0.0,0.0,50,2050,2,2025-08-23,False,at_or_above_reference
5272,PROBADOR PLASTICO 10ML ESPRAY COLORES,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,1.3,1.3,0.0,0.0,0.0,50,4424,1,2026-02-03,False,at_or_above_reference
5273,GOTERO VIDRIO PAVONADO 10ML B18 TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,1.2,1.2,0.0,0.0,0.0,30,2050,1,2025-06-25,False,at_or_above_reference
