product_id,product_name,total_value,sale_lines,value_share,cumulative_share,abc_class
5534,FRASCO VIDRIO AMBAR IMPORTADO 250ML C/TAPA Y TAPON INTERNO.,806.8,25,0.00381,0.544714,A
5094,PROBETA DE PLASTICO GRADUADA 100 ML,751.0,36,0.003547,0.548261,A
5040,FRASCO PLASTICO AMBAR 250ML CON TAPA Y TAPON N28 Boca 24 con tapa press,750.0,1,0.003542,0.551803,A
5061,POTE PLASTICO PEAD BLANCO 250GR CON TAPA Y LAINA,745.35,25,0.00352,0.555323,A
5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON,745.0000000004,28,0.003519,0.558842,A
5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,729.0599664,75,0.003443,0.562285,A
5069,PISETA 1LT,725.5,27,0.003426,0.565711,A
5209,FRASCO PET TRANSPARENTE 120ML B/28 C/TAPA DISPENSADOR GEL,718.2,38,0.003392,0.569103,A
5530,GALONERA PLASTICO NATURAL 1L B36 C/TAPA Y TAPON,717.8,6,0.00339,0.572493,A
5311,PROBETA PLASTICO 1L,714.0,15,0.003372,0.575865,A
5302,FRASCO DE VIDRIO BOCA ANCHA TAPA AZUL 250ML,684.0,8,0.00323,0.579095,A
5179,POTE VIDRIO TRANSPARENTE 100GR C/TAPA METAL N53,670.9,25,0.003169,0.582264,A
5271,GUANTES DE NITRILO ALTO RIESGO GATAMO,669.0,4,0.00316,0.585424,A
5021,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,662.9,35,0.003131,0.588555,A
5076,POTE PLASTICO BLANCO 250GR CON TAPA,651.6,18,0.003077,0.591632,A
5025,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,650.1,11,0.00307,0.594702,A
5163,FRASCO VIDRIO AMBAR 120ML TAPA Y TAPON N28,618.5,11,0.002921,0.597623,A
5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,612.6999688,27,0.002894,0.600517,A
5139,PAPEL FILTRO RAPIDO X PLIEGO 50*50,611.5,25,0.002888,0.603405,A
5058,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T/ESP,610.6,23,0.002884,0.606289,A
5608,CRISOL 25ML,600.0,1,0.002834,0.609123,A
5053,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA PLASTICO ROSCA,599.95,26,0.002834,0.611957,A
5254,POTE ACRILICO 5GR C/TAPA ROSCA,595.1,38,0.002811,0.614768,A
5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,595.099952,69,0.002811,0.617579,A
5077,GOTERO PLASTICO X 10ML NATURAL S/P B15MM C/TAPA Y TAPON,593.9,28,0.002805,0.620384,A
5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,589.5,19,0.002784,0.623168,A
5382,TIRAS MEDIDORAS DE PH (CAJA *100UND),584.0,24,0.002758,0.625926,A
5080,GOTERO PLASTICO 5ML NATURAL S/P C/TAPA,561.25,17,0.002651,0.628577,A
5244,VIAL VIDRIO TRANSPARENTE 5ML B20 C/TAPA BUTILO GRIS,561.25,7,0.002651,0.631228,A
5333,BOTELLA PET TRANSPARENTE 250ML B28 C/TAPA Y TAPON,560.95,25,0.002649,0.633877,A
5095,PROBETA DE PLASTICO GRADUADA 250 ML,560.5,23,0.002647,0.636524,A
5096,PLACA PETRI DE PLASTICO 90*15,559.0,20,0.00264,0.639164,A
5180,POTE VIDRIO TRANSPARENTE 30GR C/TAPA METAL N43 MN,556.6,30,0.002629,0.641793,A
5199,TALQUERA PLASTICO 70GR C/TAPA Y REJILLA,542.6,25,0.002563,0.644356,A
5067,PIPETAS PASTEUR ESTRILES 3ML BX200,540.5000000001,66,0.002553,0.646909,A
5079,GOTERO PLASTICO 60ML NATURAL S/P B18MM C/TAPA Y TAPON,535.3,32,0.002528,0.649437,A
5022,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,533.6,24,0.00252,0.651957,A
5115,POTE CREMERO VIDRIO PAVONADO 30GR CON LAINA Y TAPA,533.09998,28,0.002518,0.654475,A
5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,520.5999168,22,0.002459,0.656934,A
5509,TUBO COLAPSIBLE 30ML NATURAL C/TAPA,516.0,19,0.002437,0.659371,A
5161,FRASCO VIDRIO AMBAR 70ML C/TAPA Y TAPON N28,511.9,16,0.002418,0.661789,A
5316,GOTERO VIDRIO AMBAR 30ML C/TAPA Y CHUPON C/SEGURO,510.3,6,0.00241,0.664199,A
5186,FRASCO PLASTICO INSECTICIDA BLANCO 1LT C/TAPA Y TAPON,509.7,17,0.002407,0.666606,A
5596,CREMERO DE VIDRIO 50GR PAVONADO,505.5,6,0.002387,0.668993,A
5082,GOTERO PLASTICO 30ML NATURAL S/P C/TAPA,501.5,34,0.002369,0.671362,A
5071,GOTERO PLASTICO 100ML COLOR NATURAL,500.0,2,0.002361,0.673723,A
5337,PROBADOR DE VIDRIO 5ML METALIZADO RECARGABLE,493.3,43,0.00233,0.676053,A
5340,FRASCO PET COLORES BOSTON 120ML C/TAPA ESPRAY B20,493.3,29,0.00233,0.678383,A
5342,FRASCO DE VIDRIO BOCA ANCHA TRANSPARENTE TAPA AZUL 100ml,482.0,9,0.002276,0.680659,A
5204,POTE PLASTICO BLANCO TIPO ANALISIS 100GR C/TAPA,471.6,10,0.002227,0.682886,A
5211,PROBETA VIDRIO TRANSPARENTE 250ML,468.0,10,0.00221,0.685096,A
5137,TUBO DE ENSAYO C/TAPA ROSCA 13*100 SIMPLE,467.4,16,0.002208,0.687304,A
5038,FRASCO PLASTICO AMBAR 60ML CON TAPA Y TAPON N28,458.5,5,0.002165,0.689469,A
5294,LIPSTICK/BALSAMO LABIAL 5ML,457.7,22,0.002162,0.691631,A
5113,TERMOMETRO  DIGITAL DE VASTAGO PARA COCINA DE 15CM,451.0,18,0.00213,0.693761,A
5159,FRASCO VIDRIO AMBAR 25ML C/TAPA Y TAPON B28,446.5,4,0.002109,0.69587,A
5453,FRASCO BULLET 120ML C/TAPA ATOMIZADOR,443.90000000000003,31,0.002097,0.697967,A
6,MATERIAL MEDICO mascarillas kn95,440.0,1,0.002078,0.700045,A
5360,POTE VIDRIO TRANSPARENTE 1L C/TAPA 100,436.2,6,0.00206,0.702105,A
5120,FRASCO PET TRANSPARENTE 60ML B/20 C/TAPA DISPENSADOR,435.5,26,0.002057,0.704162,A
5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,433.0,18,0.002045,0.706207,A
5081,GOTERO PLASTICO 15ML NATURAL S/P C/TAPA,428.75,36,0.002025,0.708232,A
5423,PLACA PETRI DE VIDRIO 100*15,426.0,8,0.002012,0.710244,A
5138,TUBO CONICO CON TAPA ROSCA DE 50ML NO ESTERIL,421.0,16,0.001988,0.712232,A
