date,product_id,product_name,supplier,quantity,unit_cost_net,unit_cost_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_adjustment,is_active,analysis_unit_cost,analysis_total,product_name_norm,supplier_norm,source_dataset
2025-04-28,0001,utiles de oficina,COMERCIAL FERRETERA SARASARA S.A.C.,1,457.6271186441,540.0,457.6271186441,82.3728813559,540.0,False,False,True,540.0,540.0,UTILES DE OFICINA,COMERCIAL FERRETERA SARASARA S A C,purchases
2025-04-28,5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,CORPORACION PROMELAB E.I.R.L.,10,4.2372881356,5.0,42.3728813559,7.6271186441,50.0,False,False,True,5.0,50.0,VASO PRECIPITADO DE VIDRIO 250 ML BEAKER G,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,8,6.7796610169,8.0,54.2372881356,9.7627118644,64.0,False,False,True,8.0,64.0,VASO PRECIPITADO DE VIDRIO 500 ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5100,PINZA PARA TUBO DE ENSAYO DE METAL 11.5CM,CORPORACION PROMELAB E.I.R.L.,1,6.7796610169,8.0,6.7796610169,1.2203389831,8.0,False,False,True,8.0,8.0,PINZA PARA TUBO DE ENSAYO DE METAL 11 5CM,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,CORPORACION PROMELAB E.I.R.L.,1,12.7118644068,15.0,12.7118644068,2.2881355932,15.0,False,False,True,15.0,15.0,PROBETA DE VIDRIO GRADUADA C PICO 100 ML,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5102,SOPORTE UNIVERSAL C/BASE Y VARILLA PINTADA - INTEK,CORPORACION PROMELAB E.I.R.L.,1,38.1355932203,45.0,38.1355932203,6.8644067797,45.0,False,False,True,45.0,45.0,SOPORTE UNIVERSAL C BASE Y VARILLA PINTADA INTEK,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5103,TUBO DE ENSAYO DE VIDRIO 12*75MM (PAQ 250UND),CORPORACION PROMELAB E.I.R.L.,1,16.9491525424,20.0,16.9491525424,3.0508474576,20.0,False,False,True,20.0,20.0,TUBO DE ENSAYO DE VIDRIO 12 75MM PAQ 250UND,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,CORPORACION PROMELAB E.I.R.L.,1,4.2372881356,5.0,4.2372881356,0.7627118644,5.0,False,False,True,5.0,5.0,VASO PRECIPITADO DE VIDRIO 250 ML BEAKER G,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5104,MORTERO DE 100MM C/PILON,CORPORACION PROMELAB E.I.R.L.,1,8.4745762712,10.0,8.4745762712,1.5254237288,10.0,False,False,True,10.0,10.0,MORTERO DE 100MM C PILON,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,CORPORACION PROMELAB E.I.R.L.,1,5.9322033898,7.0,5.9322033898,1.0677966102,7.0,False,False,True,7.0,7.0,MATRAZ ERLENMEYER DE VIDRIO 250ML,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5106,MATRAZ ERLENMEYER DE VIDRIO 500ML,CORPORACION PROMELAB E.I.R.L.,1,12.7118644068,15.0,12.7118644068,2.2881355932,15.0,False,False,True,15.0,15.0,MATRAZ ERLENMEYER DE VIDRIO 500ML,CORPORACION PROMELAB E I R L,purchases
2025-04-28,5107,LAMINA PORTAOBJETO 7101 (PAQ. 50UND),CORPORACION PROMELAB E.I.R.L.,1,2.1186440678,2.5,2.1186440678,0.3813559322,2.5,False,False,True,2.5,2.5,LAMINA PORTAOBJETO 7101 PAQ 50UND,CORPORACION PROMELAB E I R L,purchases
2025-04-29,5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28,GENPLAST S.A.C.,250,0.5,0.59,125.0,22.5,147.5,False,False,True,0.59,147.5,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B 28,GENPLAST S A C,purchases
2025-04-29,5067,PIPETAS PASTEUR ESTRILES 3ML BX200,CORPORACION PROMELAB E.I.R.L.,200,0.1483050847,0.175,29.6610169492,5.3389830508,35.0,False,False,True,0.175,35.0,PIPETAS PASTEUR ESTRILES 3ML BX200,CORPORACION PROMELAB E I R L,purchases
2025-04-29,5068,CRIOVIAL C/TAPA ROSCA NO ESTERIL 2ML TAPA BLANCA (BOLSA*500UND),CORPORACION PROMELAB E.I.R.L.,500,0.0762711864,0.09,38.1355932203,6.8644067797,45.0,False,False,True,0.09,45.0,CRIOVIAL C TAPA ROSCA NO ESTERIL 2ML TAPA BLANCA BOLSA 500UND,CORPORACION PROMELAB E I R L,purchases
2025-04-29,5114,GRADILLA ACRILICA PARA 50 TUBOS,CORPORACION PROMELAB E.I.R.L.,1,8.4745762712,10.0,8.4745762712,1.5254237288,10.0,False,False,True,10.0,10.0,GRADILLA ACRILICA PARA 50 TUBOS,CORPORACION PROMELAB E I R L,purchases
2025-04-29,5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),CORPORACION PROMELAB E.I.R.L.,10,2.5423728814,3.0,25.4237288136,4.5762711864,30.0,False,False,True,3.0,30.0,VASO PRECIPITADO DE VIDRIO 50ML BEAKER,CORPORACION PROMELAB E I R L,purchases
2025-04-29,5082,GOTERO PLASTICO 30ML NATURAL S/P C/TAPA,GENPLAST S.A.C.,500,0.2,0.236,100.0,18.0,118.0,False,False,True,0.236,118.0,GOTERO PLASTICO 30ML NATURAL S P C TAPA,GENPLAST S A C,purchases
2025-04-29,5081,GOTERO PLASTICO 15ML NATURAL S/P C/TAPA,GENPLAST S.A.C.,500,0.2,0.236,100.0,18.0,118.0,False,False,True,0.236,118.0,GOTERO PLASTICO 15ML NATURAL S P C TAPA,GENPLAST S A C,purchases
2025-04-29,5080,GOTERO PLASTICO 5ML NATURAL S/P C/TAPA,GENPLAST S.A.C.,500,0.18,0.2124,90.0,16.2,106.2,False,False,True,0.2124,106.2,GOTERO PLASTICO 5ML NATURAL S P C TAPA,GENPLAST S A C,purchases
2025-04-30,5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,25,0.7627118644,0.9,19.0677966102,3.4322033898,22.5,False,False,True,0.9,22.5,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,ENVIPLAST E I R L,purchases
2025-04-30,5060,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,ENVIPLAST E.I.R.L.,25,1.5677966102,1.85,39.1949152542,7.0550847458,46.25,False,False,True,1.85,46.25,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,ENVIPLAST E I R L,purchases
2025-04-30,5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,25,0.5508474576,0.65,13.7711864407,2.4788135593,16.25,False,False,True,0.65,16.25,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,ENVIPLAST E I R L,purchases
2025-04-30,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E.I.R.L.,25,0.6779661017,0.8,16.9491525424,3.0508474576,20.0,False,False,True,0.8,20.0,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,ENVIPLAST E I R L,purchases
2025-05-02,5115,POTE CREMERO VIDRIO PAVONADO 30GR CON LAINA Y TAPA,ENVIPLAST E.I.R.L.,25,1.6949152542,2.0,42.3728813559,7.6271186441,50.0,False,False,True,2.0,50.0,POTE CREMERO VIDRIO PAVONADO 30GR CON LAINA Y TAPA,ENVIPLAST E I R L,purchases
2025-05-02,5116,FRASCO VIDRIO TRANSPARENTE TUBULAR 15ML CON TAPA BAQUELITA N18,ENVIPLAST E.I.R.L.,25,1.0169491525,1.2,25.4237288136,4.5762711864,30.0,False,False,True,1.2,30.0,FRASCO VIDRIO TRANSPARENTE TUBULAR 15ML CON TAPA BAQUELITA N18,ENVIPLAST E I R L,purchases
2025-05-02,5117,FRASCO VIDRIO TRANSPARENTE TUBULAR 10ML CON TAPA BAQUELITA B/20,ENVIPLAST E.I.R.L.,25,0.9322033898,1.1,23.3050847458,4.1949152542,27.5,False,False,True,1.1,27.5,FRASCO VIDRIO TRANSPARENTE TUBULAR 10ML CON TAPA BAQUELITA B 20,ENVIPLAST E I R L,purchases
2025-05-02,5118,FRASCO VIDRIO TRANSPARENTE TUBULAR 5ML CON TAPA BAQUELITA N20,ENVIPLAST E.I.R.L.,25,0.8474576271,1.0,21.186440678,3.813559322,25.0,False,False,True,1.0,25.0,FRASCO VIDRIO TRANSPARENTE TUBULAR 5ML CON TAPA BAQUELITA N20,ENVIPLAST E I R L,purchases
