date,product_id,product_name,customer,quantity,unit_price_net,unit_price_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_cancelled_source,is_adjustment,is_active,analysis_unit_price,analysis_total,product_name_norm,customer_norm,source_dataset
2025-04-14,5070,FRASCO PET TRANSPARENTE 60ML CON TAPA Y TAPON N°28,MUNDACA LOPEZ WALTER ENRIQUE,2000.0,0.7627118644,0.9,1525.4237288,274.576271184,1799.999999984,False,NO,False,True,0.9,1799.999999984,FRASCO PET TRANSPARENTE 60ML CON TAPA Y TAPON N 28,MUNDACA LOPEZ WALTER ENRIQUE,sales
2025-04-15,5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,VARIOS,3.0,1.3559322034,1.6,4.0677966102,0.7322033898,4.8,False,NO,False,True,1.6,4.8,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,VARIOS,sales
2025-04-15,5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,VARIOS,3.0,1.1440677966,1.35,3.4322033898,0.6177966102,4.05,False,NO,False,True,1.35,4.05,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,VARIOS,sales
2025-04-15,5007,TAPA DISPENSADORA BLANCO B28MM,VARIOS,3.0,1.6949152542,2.0,5.0847457626,0.9152542373,5.9999999999,False,NO,False,True,2.0,5.9999999999,TAPA DISPENSADORA BLANCO B28MM,VARIOS,sales
2025-04-15,5067,PIPETAS PASTEUR ESTRILES 3ML BX200,VARIOS,2.0,0.4237288136,0.5,0.8474576271,0.1525423729,1.0,False,NO,False,True,0.5,1.0,PIPETAS PASTEUR ESTRILES 3ML BX200,VARIOS,sales
2025-04-15,5058,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T/ESP,VARIOS,5.0,2.5423728814,3.0,12.7118644068,2.2881355932,15.0,False,NO,False,True,3.0,15.0,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T ESP,VARIOS,sales
2025-04-16,5071,GOTERO PLASTICO 100ML COLOR NATURAL,UNIVERSIDAD RICARDO PALMA,200.0,1.0593220339,1.25,211.8644067797,38.1355932203,250.0,False,NO,False,True,1.25,250.0,GOTERO PLASTICO 100ML COLOR NATURAL,UNIVERSIDAD RICARDO PALMA,sales
2025-04-17,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,sales
2025-04-17,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,VARIOS,sales
2025-04-17,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,2.0,0.8474576271,1.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,1.0,2.0,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-17,5072,FRASCO YOGURT 1LT BLANCO CON TAPA 38MM,VARIOS,2.0,1.6949152542,2.0,3.3898305084,0.6101694915,3.9999999999,False,NO,False,True,2.0,3.9999999999,FRASCO YOGURT 1LT BLANCO CON TAPA 38MM,VARIOS,sales
2025-04-19,5065,PISETA 250ML,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,PISETA 250ML,VARIOS,sales
2025-04-19,5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,VARIOS,1.0,0.8474576271,1.0,0.8474576271,0.1525423729,1.0,False,NO,False,True,1.0,1.0,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B 28,VARIOS,sales
2025-04-19,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,1.0,0.8474576271,1.0,0.8474576271,0.1525423729,1.0,False,NO,False,True,1.0,1.0,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,sales
2025-04-19,5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,VARIOS,1.0,2.1186440678,2.5,2.1186440678,0.3813559322,2.5,False,NO,False,True,2.5,2.5,FRASCO PARA RIMEL 5ML 9CM X 1CM CON TAPA,VARIOS,sales
2025-04-19,5007,TAPA DISPENSADORA BLANCO B28MM,VARIOS,2.0,1.6949152542,2.0,3.3898305085,0.6101694915,4.0,False,NO,False,True,2.0,4.0,TAPA DISPENSADORA BLANCO B28MM,VARIOS,sales
2025-04-19,5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,VARIOS,2.0,0.42372,0.4999896,0.84744,0.1525392,0.9999792,False,NO,False,True,0.4999896,0.9999792,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B 28,VARIOS,sales
2025-04-19,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,3.0,0.8474576271,1.0,2.5423728814,0.4576271186,3.0,False,NO,False,True,1.0,3.0,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-19,5061,POTE PLASTICO PEAD BLANCO 250GR CON TAPA Y LAINA,VARIOS,1.0,2.1186440678,2.5,2.1186440678,0.3813559322,2.5,False,NO,False,True,2.5,2.5,POTE PLASTICO PEAD BLANCO 250GR CON TAPA Y LAINA,VARIOS,sales
2025-04-19,5039,FRASCO PLASTICO AMBAR 120ML CON TAPA Y TAPON N28,VARIOS,18.0,0.4802259887,0.5666666667,8.6440677966,1.5559322034,10.2,False,NO,False,True,0.5666666667,10.2,FRASCO PLASTICO AMBAR 120ML CON TAPA Y TAPON N28,VARIOS,sales
2025-04-19,5064,GATILLO PULVERIZADOR 28/410,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,GATILLO PULVERIZADOR 28 410,VARIOS,sales
2025-04-19,5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,VARIOS,6.0,0.42372,0.4999896,2.54232,0.4576176,2.9999376,False,NO,False,True,0.4999896,2.9999376,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B 28,VARIOS,sales
2025-04-19,5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28,VARIOS,12.0,0.31355,0.369989,3.7626,0.677268,4.439868,False,NO,False,True,0.369989,4.439868,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B 28,VARIOS,sales
2025-04-19,5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro,VARIOS,2.0,2.54237,2.9999966,5.08474,0.9152532,5.9999932,False,NO,False,True,2.9999966,5.9999932,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA NEGRO,VARIOS,sales
2025-04-19,5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,VARIOS,6.0,1.29237,1.5249966,7.75422,1.3957596,9.1499796,False,NO,False,True,1.5249966,9.1499796,POTE PLASTICO 1KG B110 BLANCO C TAPA,VARIOS,sales
2025-04-19,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,12.0,0.9322,1.099996,11.1864,2.013552,13.199952,False,NO,False,True,1.099996,13.199952,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-19,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,VARIOS,12.0,1.01694,1.1999892,12.20328,2.1965904,14.3998704,False,NO,False,True,1.1999892,14.3998704,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-19,5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,VARIOS,12.0,1.01694,1.1999892,12.20328,2.1965904,14.3998704,False,NO,False,True,1.1999892,14.3998704,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,VARIOS,sales
2025-04-19,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,11.0,0.9322,1.099996,10.2542,1.845756,12.099956,False,NO,False,True,1.099996,12.099956,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-19,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,VARIOS,12.0,0.15254,0.1799972,1.83048,0.3294864,2.1599664,False,NO,False,True,0.1799972,2.1599664,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,VARIOS,sales
2025-04-19,5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,VARIOS,1.0,1.2711864407,1.5,1.2711864407,0.2288135593,1.5,False,NO,False,True,1.5,1.5,FRASCO BULLET 75ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-22,5064,GATILLO PULVERIZADOR 28/410,VARIOS,1.0,1.6949152542,2.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,2.0,2.0,GATILLO PULVERIZADOR 28 410,VARIOS,sales
2025-04-22,5065,PISETA 250ML,VARIOS,1.0,4.2372881356,5.0,4.2372881356,0.7627118644,5.0,False,NO,False,True,5.0,5.0,PISETA 250ML,VARIOS,sales
2025-04-22,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),VARIOS,1.0,5.08474,5.9999932,5.08474,0.9152532,5.9999932,False,NO,False,True,5.9999932,5.9999932,VASO PRECIPITADO DE VIDRIO 100 ML BEAKER,VARIOS,sales
2025-04-22,5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,VARIOS,2.0,1.6949152542,2.0,3.3898305084,0.6101694915,3.9999999999,False,NO,False,True,2.0,3.9999999999,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-04-22,5093,PROBETA DE PLASTICO GRADUADA 50 ML,VARIOS,1.0,5.08474,5.9999932,5.08474,0.9152532,5.9999932,False,NO,False,True,5.9999932,5.9999932,PROBETA DE PLASTICO GRADUADA 50 ML,VARIOS,sales
2025-04-22,5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,VARIOS,1.0,0.8474576271,1.0,0.8474576271,0.1525423729,1.0,False,NO,False,True,1.0,1.0,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,VARIOS,sales
2025-04-22,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,VARIOS,1.0,0.4237288136,0.5,0.4237288136,0.0762711864,0.5,False,NO,False,True,0.5,0.5,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,VARIOS,sales
