product_id,product_name,query,query_tokens,matched_tokens,unmatched_tokens,matched_attributes_json,retrievability_score,top1_found,top5_found,top10_found,best_match_product_id,best_match_product_name,best_match_score
5477,CONDUCTIMETRO Y TDS DIGITAL CON SENSOR DE TEMPERATURA,CONDUCTIMETRO Y TDS DIGITAL CON SENSOR DE TEMPERATURA,CONDUCTIMETRO|TDS|DIGITAL|SENSOR|TEMPERATURA,DIGITAL,CONDUCTIMETRO|TDS|SENSOR|TEMPERATURA,"{""feature"": [""DIGITAL""]}",0.2,True,True,True,5477,CONDUCTIMETRO Y TDS DIGITAL CON SENSOR DE TEMPERATURA,2.981
5478,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA,FRASCO|CILINDRO|PET|TRANSPARENTE|250ML|B28|TAPA,FRASCO|PET|TRANSPARENTE|250ML|TAPA,CILINDRO|B28,"{""product_type"": [""FRASCO""], ""accessory"": [""TAPA""], ""material"": [""PET""], ""color"": [""TRANSPARENTE""], ""capacity_text"": [""250ML""]}",0.7143,True,True,True,5478,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA,3.5614
5479,PROBADOR PLASTICO NATURAL CON ATOMIZDOR 10ML,PROBADOR PLASTICO NATURAL CON ATOMIZDOR 10ML,PROBADOR|PLASTICO|NATURAL|ATOMIZDOR|10ML,PLASTICO|NATURAL|10ML,PROBADOR|ATOMIZDOR,"{""material"": [""PLASTICO""], ""color"": [""NATURAL""], ""capacity_text"": [""10ML""], ""material_family"": [""PLASTICO""]}",0.6,True,True,True,5479,PROBADOR PLASTICO NATURAL CON ATOMIZDOR 10ML,3.4261
5480,PROBADOR PLASTICO NATURAL C/GANCHO CON ATOMIZDOR 10ML,PROBADOR PLASTICO NATURAL C/GANCHO CON ATOMIZDOR 10ML,PROBADOR|PLASTICO|NATURAL|GANCHO|ATOMIZDOR|10ML,PLASTICO|NATURAL|10ML,PROBADOR|GANCHO|ATOMIZDOR,"{""material"": [""PLASTICO""], ""color"": [""NATURAL""], ""capacity_text"": [""10ML""], ""material_family"": [""PLASTICO""]}",0.5,True,True,True,5480,PROBADOR PLASTICO NATURAL C/GANCHO CON ATOMIZDOR 10ML,3.3161
5481,ENVASE PEAD BIDON *20LT VERDE C/TAPA Y TAPON,ENVASE PEAD BIDON *20LT VERDE C/TAPA Y TAPON,ENVASE|PEAD|BIDON|20LT|VERDE|TAPA|TAPON,ENVASE|PEAD|VERDE|TAPA,BIDON|20LT|TAPON,"{""accessory"": [""TAPA""], ""material"": [""PEAD""], ""color"": [""VERDE""], ""use_category"": [""ENVASE""]}",0.5714,True,True,True,5481,ENVASE PEAD BIDON *20LT VERDE C/TAPA Y TAPON,3.4016
5482,FRASCO VIDRIO 85ML T/43 C/TAPA PLASTICO N43 BLANCO,FRASCO VIDRIO 85ML T/43 C/TAPA PLASTICO N43 BLANCO,FRASCO|VIDRIO|85ML|43|TAPA|PLASTICO|N43|BLANCO,FRASCO|85ML|TAPA|PLASTICO|BLANCO,VIDRIO|43|N43,"{""product_type"": [""FRASCO""], ""accessory"": [""TAPA""], ""material"": [""PLASTICO""], ""color"": [""BLANCO""], ""capacity_text"": [""85ML""], ""material_family"": [""PLASTICO""]}",0.625,True,True,True,5482,FRASCO VIDRIO 85ML T/43 C/TAPA PLASTICO N43 BLANCO,3.4605
5483,PLACA PETRI PLASTICO 100*15MM,PLACA PETRI PLASTICO 100*15MM,PLACA|PETRI|PLASTICO|100|15MM,PLACA|PETRI|PLASTICO,100|15MM,"{""subtype"": [""PETRI"", ""PLACA""], ""material"": [""PLASTICO""], ""material_family"": [""PLASTICO""]}",0.6,True,True,True,5483,PLACA PETRI PLASTICO 100*15MM,3.4279
5484,PLACA PETRI PLASTICO 150*15MM,PLACA PETRI PLASTICO 150*15MM,PLACA|PETRI|PLASTICO|150|15MM,PLACA|PETRI|PLASTICO,150|15MM,"{""subtype"": [""PETRI"", ""PLACA""], ""material"": [""PLASTICO""], ""material_family"": [""PLASTICO""]}",0.6,True,True,True,5484,PLACA PETRI PLASTICO 150*15MM,3.4279
5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,GOTERO|VIDRIO|AZUL|5ML|TAPA|CHUPON,GOTERO|VIDRIO|AZUL|5ML|TAPA|CHUPON,,"{""product_type"": [""GOTERO""], ""subtype"": [""CHUPON""], ""accessory"": [""CHUPON"", ""TAPA""], ""material"": [""VIDRIO""], ""color"": [""AZUL""], ""capacity_text"": [""5ML""], ""material_family"": [""VIDRIO""]}",1.0,True,True,True,5485,GOTERO VIDRIO AZUL 5ML C/TAPA Y CHUPON,3.8708
5486,VASO COPLIN PARA 5 LAMINAS VERTICAL,VASO COPLIN PARA 5 LAMINAS VERTICAL,VASO|COPLIN|LAMINAS|VERTICAL,,VASO|COPLIN|LAMINAS|VERTICAL,{},0.0,True,True,True,5486,VASO COPLIN PARA 5 LAMINAS VERTICAL,2.7569
